Commune;nbr
Abbeville 80100; 3 370
Ablon-sur-Seine 94480;  520
Achères 78260; 2 480
Achicourt 62217;  790
Acigné 35690;  550
Agde 34300; 5 900
Agen 47000; 5 650
Aiffres 79230;  370
Aigues-Mortes 30220; 1 150
Aimargues 30470;  690
Aire-sur-l'Adour 40800;  680
Aire-sur-la-Lys 62120; 1 050
Aix-en-Provence 13090; 14 810
Aixe-sur-Vienne 87700;  460
Aix-les-Bains 73100; 3 450
Aizenay 85190;  740
Ajaccio 20000; 5 130
Albert 80300; 1 180
Albertville 73200; 2 070
Albi 81000; 6 130
Alençon 61000; 3 920
Alès 30100; 6 960
Alfortville 94140; 5 660
Algrange 57440;  630
Allauch 13190; 1 480
Allonnes 72700; 1 490
Altkirch 68130;  590
Ambarès-et-Lagrave 33440; 2 240
Ambazac 87240;  440
Ambérieu-en-Bugey 01500; 1 950
Ambert 63600;  630
Ambilly 74100;  960
Amboise 37400; 1 640
Amiens 80000; 20 250
Amilly 45200; 1 360
Amnéville 57360; 1 090
Amplepuis 69550;  420
Ancenis 44150; 1 110
Andernos-les-Bains 33510; 1 000
Andrésy 78570;  970
Andrézieux-Bouthéon 42160; 1 150
Angers 49000; 21 050
Anglet 64600; 4 590
Angoulême 16000; 8 050
Aniche 59580; 1 690
Annecy 74000; 12 240
Annemasse 74100; 6 080
Annezin 62232;  660
Annoeullin 59112;  890
Annonay 07100; 2 190
Anse 69480;  690
Anse-Bertrand 97121;  840
Antibes 06600; 8 860
Antony 92160; 4 850
Anzin 59410; 2 350
Apatou 97317;  720
Apt 84400; 1 600
Arcachon 33120; 1 090
Arcueil 94110; 2 520
Arès 33740;  560
Argelès-sur-Mer 66700; 1 920
Argentan 61200; 1 790
Argenteuil 95100; 14 580
Argenton-sur-Creuse 36200;  540
Arles 13200; 8 130
Armentières 59280; 3 910
Arnage 72230;  440
Arnouville 95400; 1 580
Arpajon 91290; 1 320
Arpajon-sur-Cère 15130;  370
Arques 62510; 1 160
Arradon 56610;  340
Arras 62000; 6 350
Artigues-près-Bordeaux 33370;  960
Asnières-sur-Seine 92600; 9 760
Athis-Mons 91200; 4 100
Aubagne 13400; 5 600
Aubenas 07200; 1 930
Aubergenville 78410; 1 330
Aubervilliers 93300; 14 710
Aubevoye 27940;  530
Aubière 63170;  850
Aubignan 84810;  660
Aubigny-Les Clouzeaux 85430;  610
Aubigny-sur-Nère 18700;  510
Auby 59950; 1 140
Aucamville 31140; 1 350
Auch 32000; 2 590
Auchel 62260; 1 660
Audenge 33980;  930
Audincourt 25400; 2 370
Audruicq 62370;  490
Audun-le-Tiche 57390;  460
Aulnay-sous-Bois 93600; 11 620
Aulnoye-Aymeries 59620; 1 380
Aulnoy-lez-Valenciennes 59300;  870
Auneau-Bleury-Saint-Symphorien 28700;  480
Auray 56400; 1 600
Aurec-sur-Loire 43110;  490
Aureilhan 65800;  800
Aurillac 15000; 2 600
Auriol 13390; 1 180
Aussillon 81200;  610
Aussonne 31840;  830
Auterive 31190; 1 160
Autun 71400; 1 500
Auvers-sur-Oise 95430;  490
Auxerre 89000; 4 660
Auxonne 21130;  700
Avallon 89200;  850
Avignon 84000; 16 910
Avion 62210; 2 590
Avon 77210; 1 410
Avranches 50300; 1 140
Avrillé 49240; 1 330
Aÿ-Champagne 51160;  430
Aytré 17440; 1 140
Bagnères-de-Bigorre 65200;  910
Bagneux 92220; 5 380
Bagnolet 93170; 6 310
Bagnols-sur-Cèze 30200; 2 880
Baie-Mahault 97122; 4 730
Baillargues 34670;  900
Bailleul 59270; 1 190
Baillif 97123;  950
