Commune;nbr_stud
Abbeville;3285
Ablon-sur-Seine;374
Abondance;352
Achenheim;533
Acheux-en-Amiénois;274
Achicourt;526
Achères;1671
Acoua;1694
Agde;2456
Agen;6365
Agneaux;1050
Agnetz;866
Agon-Coutainville;269
Ahun;173
Aignan;91
Aigre;167
Aigrefeuille-d'Aunis;892
Aigrefeuille-sur-Maine;1170
Aigueperse;753
Aigues-Mortes;583
Aiguillon;950
Aigurande;134
Ailly-le-Haut-Clocher;303
Ailly-sur-Noye;446
Ailly-sur-Somme;500
Aime-la-Plagne;391
Airaines;362
Aire-sur-l'Adour;949
Aire-sur-la-Lys;2235
Airvault;303
Aix-Villemaur-Pâlis;402
Aix-en-Provence;14407
Aix-les-Bains;2629
Aixe-sur-Vienne;789
Aizenay;1363
Ajaccio;5366
Albert;1426
Albertville;2833
Albestroff;296
Albi;6085
Alby-sur-Chéran;577
Alençon;4124
Alfortville;2188
Algrange;478
Allaire;456
Allanche;61
Allassac;489
Allauch;1745
Allevard;523
Allonnes;1025
Allègre;199
Alo;20
Altkirch;1944
Alès;5912
Amancey;64
Ambarès-et-Lagrave;885
Ambazac;664
Ambert;782
Amboise;2720
Ambrières-les-Vallées;236
Ambérieu-en-Bugey;2785
Amiens;16023
Amilly;854
Amnéville;543
Amou;288
Amplepuis;711
Ancemont;324
Ancenis-Saint-Géréon;2903
Ancerville;290
Ancinnes;338
Ancy-le-Franc;164
Andernos-les-Bains;1640
Andouillé;365
Andrésy;815
Andrézieux-Bouthéon;2342
Anduze;462
Anet;528
Angers;17388
Anglet;2129
Anglure;292
Angoulême;8149
Angres;491
Angresse;569
Aniche;854
Anizy-le-Grand;508
Annecy;13229
Annemasse;3247
Annesse-et-Beaulieu;249
Annezin;606
Annoeullin;597
Annonay;4580
Annot;102
Anse;831
Anse-Bertrand;193
Antibes;6089
Antony;6473
Anzin;580
Anzin-Saint-Aubin;1185
Apatou;598
Apt;1650
Aramon;530
Arbent;627
Arbois;240
Arcachon;2446
Archiac;295
Arcis-sur-Aube;554
Arcueil;788
Ardentes;258
Ardres;1077
Arette;98
Argelès-Gazost;696
Argelès-sur-Mer;1272
Argences;536
Argentan;1796
Argentat-sur-Dordogne;478
Argenteuil;9739
Argenton-sur-Creuse;811
Argentonnay;393
Argentré-du-Plessis;615
Argonay;1373
Arinthod;219
Arlanc;104
Arles;4164
Arles-sur-Tech;291
Arleux;795
Armentières;4830
Arnage;505
Arnay-le-Duc;178
Arnouville;614
Arpajon;2609
Arques;517
Arradon;855
Arras;7768
Ars-sur-Moselle;485
Arsac;604
Art-sur-Meurthe;122
Artemare;307
Artenay;468
Arthez-de-Béarn;182
Artix;520
Arudy;248
Arue;1351
Arveyres;641
Arzacq-Arraziguet;369
Asfeld;464
Asnières-sur-Seine;5916
Athis-Mons;5174
Athis-Val de Rouvre;264
Attigny;311
Aubagne;4180
Aubenas;3391
Aubergenville;1948
Aubervilliers;6927
Aubigny-Les Clouzeaux;640
Aubigny-en-Artois;588
Aubigny-sur-Nère;524
Aubin;14
Aubière;1072
Aubusson;604
Auby;394
Auch;2772
Auchel;1304
Auchy-les-Mines;441
Auchy-lès-Hesdin;165
Audenge;543
Audincourt;608
Audruicq;576
Audun-le-Roman;314
Audun-le-Tiche;354
Aulnay;211
Aulnay-sous-Bois;8958
Aulnoy-lez-Valenciennes;387
Aulnoye-Aymeries;1067
Aumale;550
Aumetz;320
Auneau-Bleury-Saint-Symphorien;932
Auneuil;474
Auray;1747
Aurec-sur-Loire;485
Aureilhan;23
Aurignac;206
Aurillac;3968
Aussonne;800
Auterive;791
Authon-du-Perche;179
Autun;1509
Auvers-sur-Oise;491
Auxerre;5022
Auxi-le-Château;187
Auxonne;1285
Auzances;134
Avallon;1127
Avesnelles;547
Avesnes-le-Comte;460
Avesnes-les-Aubert;480
Avesnes-sur-Helpe;1064
Avignon;10219
Avion;1259
Avize;371
Avoine;472
Avon;1363
Avord;335
Avranches;2609
Avrillé;709
Ax-les-Thermes;186
Ayguesvives;772
Aytré;447
Azay-le-Rideau;660
Aÿ-Champagne;429
Baccarat;345
Bacqueville-en-Caux;288
Bagneux;1854
Bagnolet;2526
Bagnols-sur-Cèze;3849
Bagnères-de-Bigorre;975
Bagnères-de-Luchon;453
Baie-Mahault;3406
Baignes-Sainte-Radegonde;146
Baillargues;603
Bailleul;1564
Baillif;206
Bailly-Romainvilliers;460
Bain-de-Bretagne;2299
Balbigny;441
Ballan-Miré;570
Ballancourt-sur-Essonne;742
Ballon-Saint Mars;374
Balma;764
Bandol;358
Bandraboua;1373
Bandrele;1466
Bannalec;366
Banon;156
Bapaume;1037
Bar-le-Duc;2370
Bar-sur-Aube;829
Bar-sur-Seine;739
Baraqueville;525
Barberaz;23
Barbezieux-Saint-Hilaire;1121
Barby;588
Barcelonnette;474
Barentin;2246
Barjols;623
Barlin;556
Barr;1334
Bart;511
Basse-Goulaine;1583
Basse-Pointe;200
Basse-Terre;2592
Bassens;535
Bastia;5015
Baud;700
Baugé-en-Anjou;860
Baume-les-Dames;492
Bavay;1015
Bavilliers;24
Bayeux;3201
Bayon;467
Bayonne;7195
Bazancourt;571
Bazas;1369
Bazeilles;74
Bazoches-les-Gallerandes;403
Beaucaire;1456
Beaucamps-Ligny;2596
Beaucamps-le-Vieux;234
Beauce la Romaine;397
Beauchamp;559
Beaucourt;453
Beaufort;197
Beaufort-en-Anjou;691
Beaugency;2122
Beaujeu;290
Beaulieu-sur-Dordogne;148
Beaulieu-sur-Mer;541
Beaumont;543
Beaumont-de-Lomagne;659
Beaumont-le-Roger;710
Beaumont-lès-Valence;561
Beaumont-sur-Oise;1715
Beaumont-sur-Sarthe;445
Beaumontois en Périgord;239
Beaune;3424
Beaune-la-Rolande;572
Beaupréau-en-Mauges;2315
Beaurainville;465
Beaurepaire;744
Beaurevoir;262
Beauvais;9643
Bedous;109
Behren-lès-Forbach;326
Belfort;7306
Bellac;739
Belle-Isle-en-Terre;180
Bellefontaine;188
Bellegarde;942
Bellenaves;316
Bellerive-sur-Allier;491
Belleu;502
Bellevaux;307
Bellevigne-en-Layon;371
Bellevigny;627
Belleville-en-Beaujolais;2437
Belley;2089
Bellignat;662
Bellême;248
Belmont-sur-Rance;189
Benet;561
Benfeld;759
Berck;1608
Bergerac;3870
Bergues;747
Berlaimont;316
Bernaville;301
Bernay;2194
Bernes-sur-Oise;523
Berre-l'Etang;703
Bertincourt;270
Besançon;13038
Bessancourt;567
Besse-et-Saint-Anastaise;246
Besse-sur-Issole;782
Bessines-sur-Gartempe;227
Bessèges;172
Bessé-sur-Braye;145
Bethoncourt;353
Betton;575
Betz;500
Beuvrages;476
Beuvry;1311
Beuzeville;521
Bevons;68
Beynat;178
Beynes;713
Beynost;539
Bezons;2023
Biache-Saint-Vaast;597
Biarritz;2050
Bidache;237
Biganos;507
Biguglia;618
Bihorel;645
Billom;1017
Billy-Montigny;500
Billère;652
Biot;815
Biscarrosse;824
Bischheim;2462
Bischwiller;1604
Bitche;922
Bizanos;588
Blagnac;2208
Blain;2139
Blainville-sur-Orne;334
Blainville-sur-l'Eau;520
Blamont;198
Blancs-Coteaux;321
Blangy-sur-Bresle;415
Blanquefort;1849
Blanzy;47
Blaye;1950
Blaye-les-Mines;580
Blesle;62
Bletterans;397
Bligny-sur-Ouche;88
Blois;7802
Blotzheim;490
Blénod-lès-Pont-à-Mousson;672
Bléré;566
Bobigny;4182
Bogny-sur-Meuse;180
Bohain-en-Vermandois;705
Bois-Colombes;2556
Bois-Guillaume;1183
Bois-d'Arcy;723
Bois-le-Roi;632
Boissy-Saint-Léger;998
Bolbec;1355
Bollène;1925
Bon-Encontre;809
Bondoufle;1820
Bondues;1505
Bondy;4912
Bonifacio;261
Bonnat;140
Bonnelles;320
Bonneuil-sur-Marne;560
Bonneval;554
Bonneville;1581
Bonnières-sur-Seine;1023
Bons-en-Chablais;737
Bonsecours;424
Boos;538
Bora-bora;938
Bordeaux;28406
Bormes-les-Mimosas;429
Bornel;521
Bort-les-Orgues;154
Bouaye;1872
Bouc-Bel-Air;657
Boucau;368
Bouchain;763
Bouffémont;416
Bougival;383
Bouillante;277
Bouillargues;829
Bouilly;609
Boulay-Moselle;680
Boulazac Isle Manoire;27
Bouligny;199
Boulogne-Billancourt;7533
Boulogne-sur-Gesse;174
Boulogne-sur-Mer;4945
Bouloire;431
Bourail;134
Bourbon-Lancy;327
Bourbon-l'Archambault;258
Bourbonne-les-Bains;166
Bourbourg;999
Bourbriac;149
Bourcefranc-le-Chapus;526
Bourg;626
Bourg-Achard;824
Bourg-Argental;383
Bourg-Lastic;102
Bourg-Saint-Andéol;1580
Bourg-Saint-Maurice;946
Bourg-de-Péage;1709
Bourg-en-Bresse;8037
Bourg-la-Reine;2250
Bourg-lès-Valence;1564
Bourganeuf;307
Bourges;8128
Bourgoin-Jallieu;4586
Bourgueil;499
Bourlon;238
Bourmont-entre-Meuse-et-Mouzon;166
Bourneville-Sainte-Croix;534
Boussac;144
Boussy-Saint-Antoine;858
Bouvigny-Boyeffles;553
Bouxwiller;999
Bouzonville;510
Bouéni;809
Bozel;289
Boëge;499
Boën-sur-Lignon;757
Bracieux;415
Braine;491
Bram;616
Branne;549
Brantôme en Périgord;302
Bras-Panon;1227
Brassac;229
Brassac-les-Mines;203
Bray-Dunes;458
Bray-et-Lû;333
Bray-sur-Seine;613
Bray-sur-Somme;183
Brazey-en-Plaine;421
Brech;771
Breil-sur-Roya;101
Brenouille;459
Bresles;522
Bressuire;2714
Brest;13609
Bretenoux;314
Breteuil;893
Bretteville-sur-Laize;521
Breuil-le-Vert;753
Brezolles;341
Briançon;1686
Briare;386
Bricquebec-en-Cotentin;533
Brie-Comte-Robert;2364
Briec;757
Brienne-le-Château;393
Brienon-sur-Armançon;229
Brignais;447
Brignoles;3196
Brignon;744
Briis-sous-Forges;504
Brindas;803
Brionne;652
Briord;544
Brioude;1389
Brioux-sur-Boutonne;264
Briouze;157
Brissac Loire Aubance;986
Brive-la-Gaillarde;6703
Brives-Charensac;1057
Brochon;1332
Broglie;175
Bron;3027
Broons;749
Brou;484
Brou-sur-Chantereine;295
Bruay-la-Buissière;2381
Bruay-sur-l'Escaut;550
Bruges;399
Brumath;672
Brunoy;4366
Brunstatt-Didenheim;503
Bruyères;973
Bruz;3052
Bry-sur-Marne;1214
Bréal-sous-Montfort;662
Brécey;370
Bréhal;317
Brétigny-sur-Orge;3571
Bréval;544
Buc;1510
Buchy;631
Bueil;510
Buhl;372
Buis-les-Baronnies;188
Bully-les-Mines;1087
Bures-sur-Yvette;513
Burie;287
Burnhaupt-le-Haut;561
Bussy-Saint-Georges;3766
Buxerolles;578
Buxy;335
Buzançais;625
Bâgé-Dommartin;579
Bègles;2431
Bédarieux;1095
Bédarrides;505
Bégard;514
Bénaménil;296
Bénévent-l'Abbaye;179
Béthune;4699
Béziers;7254
Bû;442
Cabestany;851
Cabourg;188
Cabriès;605
Cachan;2831
Cadaujac;545
Cadenet;540
Cadillac-sur-Garonne;810
Cadours;657
Caen;16364
Cagnes-sur-Mer;2828
Cahors;3325
Calais;7288
Callac;157
Calonne-Ricouart;391
Caluire-et-Cuire;1382
Calvi;476
Calvisson;618
Cambo-les-Bains;954
Cambrai;5867
Camopi;124
Canala;270
Cancale;712
Candé;373
Canet-en-Roussillon;1959
Canisy;300
Cannes;7080
Canteleu;924
Cany-Barville;479
Capbreton;850
Capdenac-Gare;386
Capendu;344
Capestang;631
Capesterre-Belle-Eau;847
Capesterre-de-Marie-Galante;64
Cappelle-en-Pévèle;686
Cappelle-la-Grande;376
Carantec;228
Carbon-Blanc;627
Carbonne;516
Carcassonne;6674
Carcès;538
Carentan-les-Marais;1205
Carhaix-Plouguer;1319
Carignan;355
Carignan-de-Bordeaux;507
Carmaux;463
Carnac;706
Carnoux-en-Provence;428
Carpentras;4343
Carquefou;2711
Carqueiranne;670
Carrières-sous-Poissy;965
Carrières-sur-Seine;2110
Carros;844
Carrouges;146
Carspach;155
Carvin;2362
Cassel;505
Casseneuil;575
Cassis;676
Castelginest;667
Casteljaloux;455
Castelmoron-sur-Lot;205
Castelnau-de-Médoc;714
Castelnau-le-Lez;2055
Castelnaudary;2124
Castelsarrasin;1154
Castillon-la-Bataille;413
Castillonnès;192
Castres;4780
Castries;754
Cattenom;369
Caudan;307
Caudebec-lès-Elbeuf;439
Caudry;1742
Cauffry;620
Caumont-sur-Aure;344
Caussade;1062
Cavaillon;2905
Cayenne;7611
Cazouls-lès-Béziers;711
Cazères;1250
Ceaucé;172
Celles-sur-Belle;529
Cenon;1350
Cercy-la-Tour;98
Cergy;6404
Cerisy-la-Salle;200
Cerizay;650
Cernay;744
Cerny;478
Cervione;333
Cesson;1084
Cesson-Sévigné;2806
Cessy;407
Cestas;890
Ceyrat;585
Ceyzériat;623
Chabanais;260
Chabeuil;939
Chablis;368
Chabris;196
